DateTime,Website Name,URL,Status,Ping (ms),TCP Connect (ms),TLS Handshake (ms),DNS Time (ms),HTTP TTFB (ms),HTTP FirstChunk (ms),HTTP Total (ms),Redirects,Redirect Times (ms),Content Size (KB),Keyword Check,SSL Days Left,SSL Expiry Date,Probes Summary,Notes
2025-10-15T10:28:57.527988+00:00,Forest GIS (OFMS),https://odishaforestgis.in/ofms/,Up,Failed (No Response),36.11,N/A,3.16,514.02,0.24,0.03,0,[],Unknown,Pass,74,2025-12-29T04:05:01+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T10:29:01.182172+00:00,Odisha Map Server,https://mapserver.odishaforestgis.in/geoserver/web/,Up,Failed (No Response),65.34,N/A,3.83,586.66,0.46,0.01,0,[],Unknown,Skipped,85,2026-01-08T11:17:41+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T10:29:04.138240+00:00,SMPB Odisha,https://smpbodisha.in/,Up,148.56,290.32,N/A,3.59,2216.98,870.11,0.04,0,[],Unknown,Pass,70,2025-12-25T02:57:27+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:29:10.103037+00:00,CAMPA Odisha,https://campa.odisha.gov.in/,Up,Failed (No Response),45.6,N/A,4.42,598.16,0.44,0.01,0,[],Unknown,Pass,49,2025-12-04T04:57:50+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T10:29:13.519758+00:00,Kendu Leaves Portal,https://kenduleaves.odisha.gov.in/,Up,Failed (No Response),36.33,N/A,3.53,448.35,0.37,0.06,0,[],8904,Pass,34,2025-11-18T11:19:02+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T10:29:16.616176+00:00,Odisha Forest Main Portal,https://odishaforest.in/,Up,131.64,83.52,N/A,3.22,1412.5,16.75,0.0,0,[],Unknown,Pass,35,2025-11-19T22:20:58+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:29:22.295178+00:00,Wildlife Anukampa,https://www.odwlanukampa.in/index.php/home/applications,Up,227.0,268.82,N/A,3.21,1521.26,4.95,0.02,0,[],Unknown,Pass,52,2025-12-06T17:57:23+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:29:27.201145+00:00,Odisha Bamboo,https://www.odishabamboo.org/,Up,5.18,5.41,N/A,3.32,97.81,0.28,0.06,0,[],11821,Pass,87,2026-01-10T19:33:19+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:29:27.841445+00:00,OFS Disposition List (HRD),https://hrd.odishaforest.in/index.php/admin/login,Up,83.53,85.8,N/A,3.51,1238.44,0.58,0.01,0,[],Unknown,Pass,35,2025-11-19T22:20:58+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:29:31.625528+00:00,TT Permit Odisha,https://www.ttpermitodisha.in/,Up,279.49,271.04,N/A,3.74,1167.72,112.33,0.03,0,[],Unknown,Pass,45,2025-11-30T00:03:57+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:29:05.472886+00:00,Forest GIS (OFMS),https://odishaforestgis.in/ofms/,Up,Failed (No Response),36.34,N/A,3.07,392.88,0.28,0.02,0,[],Unknown,Pass,74,2025-12-29T04:05:01+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T10:29:08.628551+00:00,Odisha Map Server,https://mapserver.odishaforestgis.in/geoserver/web/,Up,Failed (No Response),29.47,N/A,3.02,392.92,0.51,0.02,0,[],Unknown,Skipped,85,2026-01-08T11:17:41+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T10:29:11.232576+00:00,SMPB Odisha,https://smpbodisha.in/,Up,226.15,331.38,N/A,3.63,1354.36,1.26,0.01,0,[],Unknown,Pass,70,2025-12-25T02:57:27+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:29:15.708145+00:00,CAMPA Odisha,https://campa.odisha.gov.in/,Up,Failed (No Response),32.92,N/A,3.25,423.14,0.5,0.01,0,[],Unknown,Pass,49,2025-12-04T04:57:50+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T10:29:18.853271+00:00,Kendu Leaves Portal,https://kenduleaves.odisha.gov.in/,Up,Failed (No Response),36.38,N/A,3.27,463.51,0.39,0.06,0,[],8904,Pass,34,2025-11-18T11:19:02+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T10:29:22.259147+00:00,Odisha Forest Main Portal,https://odishaforest.in/,Up,80.89,81.37,N/A,4.3,2447.51,0.92,0.0,0,[],Unknown,Pass,35,2025-11-19T22:20:58+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
